 734: T2_WOOD                                                          : Birch Logs
 735: T3_WOOD                                                          : Chestnut Logs
 736: T4_WOOD                                                          : Pine Logs
 737: T5_WOOD                                                          : Cedar Logs
 738: T6_WOOD                                                          : Bloodoak Logs
 739: T7_WOOD                                                          : Ashenbark Logs
 740: T8_WOOD                                                          : Whitewood Logs
 741: T4_WOOD_LEVEL1@1                                                 : Uncommon Pine Logs
 742: T5_WOOD_LEVEL1@1                                                 : Uncommon Cedar Logs
 743: T6_WOOD_LEVEL1@1                                                 : Uncommon Bloodoak Logs
 744: T7_WOOD_LEVEL1@1                                                 : Uncommon Ashenbark Logs
 745: T8_WOOD_LEVEL1@1                                                 : Uncommon Whitewood Logs
 746: T4_WOOD_LEVEL2@2                                                 : Rare Pine Logs
 747: T5_WOOD_LEVEL2@2                                                 : Rare Cedar Logs
 748: T6_WOOD_LEVEL2@2                                                 : Rare Bloodoak Logs
 749: T7_WOOD_LEVEL2@2                                                 : Rare Ashenbark Logs
 750: T8_WOOD_LEVEL2@2                                                 : Rare Whitewood Logs
 751: T4_WOOD_LEVEL3@3                                                 : Exceptional Pine Logs
 752: T5_WOOD_LEVEL3@3                                                 : Exceptional Cedar Logs
 753: T6_WOOD_LEVEL3@3                                                 : Exceptional Bloodoak Logs
 754: T7_WOOD_LEVEL3@3                                                 : Exceptional Ashenbark Logs
 755: T8_WOOD_LEVEL3@3                                                 : Exceptional Whitewood Logs
 756: T4_WOOD_LEVEL4@4                                                 : Pristine Pine Logs
 757: T5_WOOD_LEVEL4@4                                                 : Pristine Cedar Logs
 758: T6_WOOD_LEVEL4@4                                                 : Pristine Bloodoak Logs
 759: T7_WOOD_LEVEL4@4                                                 : Pristine Ashenbark Logs
 760: T8_WOOD_LEVEL4@4                                                 : Pristine Whitewood Logs
 762: T2_ROCK                                                          : Limestone
 763: T3_ROCK                                                          : Sandstone
 764: T4_ROCK                                                          : Travertine
 765: T5_ROCK                                                          : Granite
 766: T6_ROCK                                                          : Slate
 767: T7_ROCK                                                          : Basalt
 768: T8_ROCK                                                          : Marble
 769: T4_ROCK_LEVEL1@1                                                 : Uncommon Travertine
 770: T5_ROCK_LEVEL1@1                                                 : Uncommon Granite
 771: T6_ROCK_LEVEL1@1                                                 : Uncommon Slate
 772: T7_ROCK_LEVEL1@1                                                 : Uncommon Basalt
 773: T8_ROCK_LEVEL1@1                                                 : Uncommon Marble
 774: T4_ROCK_LEVEL2@2                                                 : Rare Travertine
